Ministère;Instance;Texte(s) institutif(s);Nombre de membres;Coût de fonctionnement 2012 (k€);Coût de fonctionnement 2013 (k€);Coût de fonctionnement 2014 (k€);Nombre de réunions 2012;Nombre de réunions 2013;Nombre de réunions 2014;Justification de l’évolution des coûts de fonctionnement / Observations
Premier ministre;Conseil supérieur de l’économie sociale et solidaire;Loi n° 2014-856 du 31 juillet 2014 relative à l'économie sociale et solidaire Décret n° 2015-732 du 24 juin 2015 relatif au conseil supérieur de l'économie sociale et solidaire;71;-;-;-;-;-;-;Cette commission a été mise en place en 2015
Premier ministre;Haut conseil à la vie associative;Décret n° 2011-773 du 28 juin 2011 relatif au haut conseil à la vie associative;47;3.6;3.28;2.5;47;37;34;
Premier ministre;Haut conseil du financement de la protection sociale;Décret n° 2012-1070 du 20 septembre 2012 relatif au haut conseil du financement de la protection sociale;49;50;235.85;437.88;5;14;11;
Premier ministre;Observatoire de la laïcité;Décret n° 2007-425 du 25 mars 2007 créant un observatoire de la laïcité;24;0;50;65.85;;25;65;
Premier ministre;Comité d'orientation et d'évaluation de l'académie nationale du renseignement;Décret n° 2010-800 du 13 juillet 2010 portant création de l'académie du renseignement;9;0;0;0;2;2;2;
Premier ministre;Comité directeur de la certification en sécurité des technologies de l'information;Décret n° 2002-535 du 18 avril 2002 relatif à l'évaluation et à la certification de la sécurité offerte par les produits et les systèmes des technologies de l'information;14;1.1;1.3;0.9;1;1;1;
Premier ministre;Comité stratégique de la sécurité des systèmes d'information;Décret n° 2009-834 du 7 juillet 2009 portant création d'un service à compétence nationale dénommé agence nationale de la sécurité des systèmes d'information;11;24.6;23.4;0;0;0;0;
Premier ministre;Commission chargée de donner un avis sur certaines opérations relatives aux matériels aéronautiques et aux matériels d'armement complexes (SGDSN);Décret n° 64-1123 du 12 novembre 1964 fixant les conditions d'application de l'article 5 de la loi de finances rectificative pour 1963;8;35.7;41.5;41;2;2;2;
Premier ministre;Commission consultative chargée d'émettre un avis sur les matériels susceptibles de porter atteinte à l'intimité de la vie privée et au secret des correspondances (SGDSN/ANSSI);Article R. 226-2 du code pénal;11;14.2;26.9;20.8;6;6;6;
Premier ministre;Commission de déontologie;Loi n° 93-122 du 29 janvier 1993 relative à la prévention de la corruption et à la transparence de la vie économique et des procédures publiques Décret n° 2007-611 du 26 avril 2007 relatif à l'exercice d'activités privées par des fonctionnaires ou agents non titulaires ayant cessé temporairement ou définitivement leurs fonctions et à la commission de déontologie;14;260;281;297;12;11;13;
Premier ministre;Commission interministérielle de coordination des contrôles (CICC);Loi n° 2002-1576 du 30 décembre 2002 de finances rectificative pour 2002 Décret n° 2008-548 du 11 juin 2008 modifié relatif à la commission interministérielle de coordination des contrôles portant sur les opérations cofinancées par les fonds européens Arrêté du 7 janvier 2009 relatif au fonctionnement, aux moyens et à l'organisation interne de la commission interministérielle de coordination des contrôles;18;167;141;67;;8;11;
Premier ministre;Commission interministérielle de défense et de sécurité des secteurs d'activités d'importance vitale (SGDSN);Articles R. 1332-10 à R. 1332-12 du code de la défense;7;8.9;10.4;7;2;3;2;
Premier ministre;Commission interministérielle de la sûreté aérienne;Articles D.* 1443-1 et D.1443-4 du code de la défense Décret n° 2007-585 du 23 avril 2007 relatif à certaines dispositions réglementaires de la première partie du code de la défense;13;24.6;19.5;17.5;2;1;3;
Premier ministre;Commission interministérielle des données d'origine spatiale;Décret n°2013-654 du 19 juillet 2013 relatif à la surveillance de l'activité des exploitants primaires de données d'origine spatiale;5;0;27.2;19.9;;1;2;
Premier ministre;Commission interministérielle pour l'étude des exportations de matériels de guerre (SGDSN);Décret n° 55-965 du 16 juillet 1955 modifié portant réorganisation de la commission interministérielle pour l'étude des exportations de matériels de guerre Article D. 1132-53 du code de la défense Arrêté du 2 octobre 1992 relatif à la procédure d'importation, d'exportation et de transfert des matériels de guerre, armes et munitions et des matériels assimilés;12;943;964;743.9;11;11;11;
Premier ministre;Conseil des systèmes d'information et de communication (DISIC);Décret n° 2011-193 du 21 février 2011 portant création d'une direction interministérielle des systèmes d'information et de communication de l'État Décret n° 2014-879 du 1er août 2014 relatif au système d'information et de communication de l'État;16;0;0;0;2;2;2;
Premier ministre;Commission nationale consultative des gens du voyage;Décret n°2003-1120 du 24 novembre 2003 relatif à la Commission nationale consultative des gens du voyage Décret n° 2009-624 du 6 juin 2009 relatif à certaines commissions administratives à caractère consultatif relevant du ministère du travail, des relations sociales, de la famille, de la solidarité et de la ville Décret n° 2015-563 du 20 mai 2015 relatif à la commission nationale consultative des gens du voyage;33;0.6;0;0;1;0;0;
Premier ministre;Commission nationale d'orientation et d'intégration;Articles R.* 4139-14 et suivants du code de la défense;7;0;0;0;11;10;12;
Premier ministre;Commission pour l'indemnisation des victimes de spoliations intervenues du fait des législations antisémites en vigueur pendant l'Occupation (CIVS);Décret n° 99-778 du 10 septembre 1999 instituant une commission pour l'indemnisation des victimes de spoliations intervenues du fait des législations antisémites en vigueur pendant l'Occupation;10;505.1;489.46;511.12;27;15;10;
Premier ministre;Commission supérieure de codification;Décret n° 89-647 du 12 septembre 1989 modifié relatif à la composition et au fonctionnement de la commission supérieure de codification;27;123.8;146.32;139.8;14;17;9;
Premier ministre;Conférence nationale de l'administration territoriale de l'Etat;Décret n° 2015-510 du 7 mai 2015 portant charte de la déconcentration;-;-;-;-;-;-;-;Cette commission a été créée le 7 mai 2015
Premier ministre;Conseil d'orientation de l'édition publique et de l'information administrative (DILA);Décret n° 2010-32 du 11 janvier 2010 instituant un conseil d'orientation de l'édition publique et de l'information administrative Décret n°2015-464 du 23 avril 2015 portant renouvellement du conseil d'orientation de l'édition publique et de l'information administrative;30;289.34;317.89;336.9;38;28;25;
Affaires étrangères et développement international;Commission consultative des recherches archéologiques à l'étranger;Arrêté du 4 octobre 1995 portant création d'une commission consultative des recherches archéologiques à l'étranger Décret n°2014-556 du 30 mai 2014 portant prorogation de la commission consultative des recherches archéologiques à l'étranger;31;0;0;0;1;1;1;
Affaires étrangères et développement international;Commission du volontariat de solidarité internationale;Loi n° 2005-159 du 23 février 2005 relative au contrat de volontariat de solidarité internationale Décret n° 2005-600 du 27 mai 2005 pris pour l'application de la loi n° 2005-159 du 23 février 2005 relative au contrat de volontariat de solidarité internationale;12;0;0;0;2;2;2;
Affaires étrangères et développement international;Commission interministérielle chargée d'émettre un avis sur les opérations immobilières de l'État à l'étranger;Article D. 36 du code du domaine de l'État Repris dans les articles D. 1221-3 à D. 1221-6 du code général de la propriété des personnes publiques;8;0;0;0;11;11;11;
Affaires étrangères et développement international;Commission interministérielle d'octroi de la garantie de l'État aux emprunts réalisés par les écoles françaises de l'étranger;Décret n° 79-142 du 19 février 1979 modifié relatif aux conditions d'octroi de la garantie de l'État aux emprunts réalisés par les écoles françaises de l'étranger;5;0;0;0;4;5;0;
Affaires étrangères et développement international;Commission interministérielle des biens à double usage;Décret n° 2010-294 du 18 mars 2010 portant création d'une commission interministérielle des biens à double usage;12;0.94;0.86;0.94;13;11;12;Commission renouvelée pour 5 ans par le décret n° 2015-360 du 30 mars 2015 portant prorogation de la commission biens à double usage. interministérielle des
Affaires étrangères et développement international;Commission LabelFrancEducation;Décret n° 2012-40 du 12 janvier 2012 modifié portant création du label LabelFrancEducation;9;0;0;0;3;2;0;
Affaires étrangères et développement international;Commission nationale de la coopération décentralisée;Articles L. 1115-6 et R. 1115-8 et suivants du code général des collectivités territoriales;34;0;0;0;1;2;2;
Affaires étrangères et développement international;Commission nationale pour l'élimination des mines antipersonnel;Articles R. 2343-1 et suivants du code de la défense;28;50;70;70;1;4;4;
Affaires étrangères et développement international;Commission permanente pour la protection sociale des Français de l'étranger;Décret n°92-437 du 19 mai 1992 portant création d'une commission permanente pour la protection sociale des Français de l'étranger;10;0;0;0;1;1;1;
Affaires étrangères et développement international;Conseil national du développement et de la solidarité internationale;Décret n°2013-1154 du 11 décembre 2013 créant un conseil national du développement et de la solidarité internationale;55;0;0;0;2;0;2;
Écologie, développement durable et énergie;Comité d'experts pour la transition énergétique;Articles L. 145-1 du code de l’énergie;-;-;-;-;-;-;-;
Écologie, développement durable et énergie;Comité d'instruction pour la diffusion des informations ferroviaires;Articles R.1211-11 à R.1211-15 du code des transports;5;0;0;0;2;3;1;
Écologie, développement durable et énergie;Comité de coordination des aéroports français;Arrêté du 28 septembre 2004 créant le comité de coordination des aéroports français;227;0;0;0;1;1;1;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie Les membres de cette commission ne sont ni rémunérés ni indemnisés. Les réunions ont lieu dans les locaux du ministère.
Écologie, développement durable et énergie;Comité de coordination industrielle pour les déchets radioactifs;Articles L.542-3 et R.542-73 du code de l'environnement;12;0;0;0;3;5;2;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Comité de l'environnement polaire;Articles D. 133-31 à D. 133-34 du code de l'environnement;11;2.5;1;2.1;2;1;3;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Comité de la prévention et de la précaution;Arrêté du 30 juillet 1996 portant création du comité de la prévention et de la précaution;20;48.5;19.6;24.5;11;9;9;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie L’augmentation des coûts de fonctionnement est liée à l’utilisation d’une salle de réunion payante toute l’année en 2014 et seulement une partie de l’année en 2013.
Écologie, développement durable et énergie;Comité des usagers du réseau routier national;Décret n° 2009-1102 du 8 septembre 2009 relatif à la création du comité des usagers du réseau routier national;21;1;1;1;6;6;5;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Comité national de l'eau;Articles L. 213-1 et D. 213-1 et suivants du code de l'environnement;155;30;30;60;4;5;4;L’augmentation des coûts de fonctionnement s’explique par la prise en charge des frais liés à l’organisation d’un colloque pour l’anniversaire de la loi sur l’eau et réservation d’une salle à l’extérieur du ministère.
Écologie, développement durable et énergie;Comité national de l'initiative française pour les récifs coralliens;Articles D. 133-23 et suivants du code de l'environnement;38;130;37;100;2;2;2;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie L’augmentation des coûts de fonctionnement s’explique par l’organisation en 2014 d'une réunion du Comité National en Martinique.
Écologie, développement durable et énergie;Conseil national de la transition écologique;Loi n° 2012-1460 du 27 décembre 2012 mise en œuvre du principe de participation du public défini à l'article 7 de la Charte de l'environnement relative à la;41;0.2;0;0;;0;0;
Écologie, développement durable et énergie;Comité national trames verte et bleue;Articles L. 371-2 et D. 371-1 et suivants du code de l'environnement;50;0;1.7;1;0;4;2;
Écologie, développement durable et énergie;Comité spécialisé de la formation professionnelle maritime;Article R. 342-6 du code de l'éducation;45;2.5;4.2;4.8;2;2;2;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Comité technique de l'utilisation des produits pétroliers;Décret n° 62-1297 du 7 novembre 1962 pris en ce qui concerne les règles techniques d'utilisation et les caractéristiques des produits pétroliers;52;0;0;0;1;1;1;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Comité technique permanent des barrages et des ouvrages hydrauliques;Articles L. 213-21, L. 213-22, R. 213-77 et suivants du code de l'environnement;10;16.7;29.8;;11;8;;
Écologie, développement durable et énergie;Commission administrative de l'aviation civile;Articles R. 160-1 et suivants et R. 330-20 du code de l'aviation civile;12;0.25;0.12;0.26;2;2;3;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission centrale de sécurité;Décret n° 84-810 modifié du 30 août 1984 relatif à la sauvegarde de la vie humaine, à l'habitabilité à bord des navires et à la prévention de la pollution;24;5;5;5.2;11;11;11;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission centrale des appareils à pression;Décret n° 99-1046 du 13 décembre 1999 relatif aux équipements sous pression;39;4;4;3;4;4;3;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission consultative du budget annexe contrôle et exploitation aériens;Arrêté du 8 juin 2006 relatif à la commission consultative du budget annexe contrôle et exploitation aérien;15;0;0;0;2;2;2;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission consultative pour la délivrance de l'attestation de capacité professionnelle à l'exercice de la profession de transporteur public de marchandises par bateau de navigation intérieure;Arrêté du 28 juillet 1992 fixant les modalités d'obtention de l'attestation de capacité à l'exercice de la profession de transporteur public de marchandises par bateau de navigation intérieure;6;0;0;0;1;0;0;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission consultative pour la procédure d'attribution de la taxe poids lourds;Décret n° 2009-345 du 30 mars 2009 relatif aux modalités d'application du III de l'article 153 de la loi de finances pour 2009;6;0;0;0;0;0;0;
Écologie, développement durable et énergie;Commission consultative relative aux déchets d'emballages ménagers;Arrêté du 23 juillet 1992 relatif à l'agrément prévu par le décret n° 92-377 du 1er avril 1992 concernant les déchets résultant de l'abandon des emballages servant à commercialiser les produits consommés ou utilisés par les ménages;37;6;4;0;6;4;0;Fusion décidée par le CIMAP du 17 juillet 2013 avec la Commission d'harmonisation et de médiation des filières de collecte sélective et de traitement des déchets Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission d'agrément des laboratoires ou des organismes pour certains types de prélèvements et d'analyses à l'émission des substances dans l'atmosphère;Arrêté du 4 septembre 2000 portant modalités d'agrément des laboratoires ou des organismes pour certains types de prélèvements et d'analyses à l'émission des substances dans l'atmosphère;13;0;0;0;;2;2;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission d'harmonisation et de médiation des filières de collecte sélective et de traitement des déchets;Loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement;20;5;5;0;5;5;0;Fusion décidée par le CIMAP du 17 juillet 2013 avec la Commission consultative d’agrément de la filière des déchets d'emballages ménagers Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission de conciliation du télépéage;Décret n° 2012-645 du 3 mai 2012 organisant une commission de conciliation du télépéage;6;0;0;0;0;0;0;
Écologie, développement durable et énergie;Commission de suivi des filières de traitement des véhicules hors d'usage;Article R. 543-170 du code de l’environnement;26;3;2;0;3;2;0;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission des comptes des transports de la Nation;Décret n° 2009-531 du 12 mai 2009 relatif aux missions et aux modalités de fonctionnement de la commission des comptes des transports de la Nation;61;1;1;1;2;2;2;
Écologie, développement durable et énergie;Commission des comptes et de l'économie de l'environnement;Articles D. 133-35 et suivants du code de l'environnement;41;0.5;0.5;0.25;2;2;1;
Écologie, développement durable et énergie;Commission des conservatoires botaniques nationaux;Articles D. 416-7 et D. 416-8 du code de l'environnement;12;0;2.5;2.5;0;1;1;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission des phares;Décret n° 82-419 du 18 mai 1982 fixant les attributions de la commission des phares;6;0;0;0;3;3;3;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission des produits chimiques et biocides;Articles R. 523-4 et suivants du code de l’environnement;30;4.5;1;;8;7;;
Écologie, développement durable et énergie;Commission des téléphériques;Décret n° 2012-988 du 22 août 2012 relatif à la commission des téléphériques;26;0;0;0;1;2;2;
Écologie, développement durable et énergie;Commission du ministère de la défense et du ministère chargé de l'aviation civile concernant la sécurité de la gestion du trafic aérien;Arrêté du 25 janvier 2005 relatif à la commission du ministère de la défense et du ministère chargé de l'aviation civile concernant la sécurité de la gestion du trafic aérien;25;0;0;0;3;3;3;
Écologie, développement durable et énergie;Commission ferroviaire d'aptitudes;Loi n° 2009-1503 du 8 décembre 2009 relative à l'organisation et à la régulation des transports ferroviaires et portant diverses dispositions relatives aux transports;6;0;0;0;11;11;11;
Écologie, développement durable et énergie;Commission interministérielle des dépôts d'hydrocarbures;Décret n° 95-477 du 27 avril 1995 relatif à la commission interministérielle des dépôts d'hydrocarbures;10;0;0;0;2;3;2;
Écologie, développement durable et énergie;Commission interministérielle des transports de matières dangereuses;Articles D.1252-1 et suivants du code des transports;78;6.9;4.4;0;5;4;0;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission nationale consultative pour la faune sauvage captive;Article R. 413-2 du code de l'environnement;45;10;10;10;4;4;4;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission nationale d'évaluation des recherches et études relatives à la gestion des matières et des déchets radioactifs;Article L. 542-3 du code de l'environnement;12;874;874;621;25;25;23;
Écologie, développement durable et énergie;Commission nationale d'indemnisation des dégâts de gibiers;Articles L. 426-5 et R. 426-3 et suivants du code de l'environnement;15;1.7;1.7;1.3;4;4;3;
Écologie, développement durable et énergie;Commission nationale d'orientation, de suivi et d'évaluation des techniques d'exploration et d'exploitation des hydrocarbures liquides et gazeux;Loi n° 2011-835 du 13 juillet 2011 visant à interdire l'exploration et l'exploitation des mines d'hydrocarbures liquides ou gazeux par fracturation hydraulique et à abroger les permis exclusifs de recherches comportant des projets ayant recours à cette technique;22;0;0;0;0;0;0;
Écologie, développement durable et énergie;Commission nationale de l'examen pour l'obtention du permis de chasser;Article R. 423-5 du code de l’environnement;14;0.1;0.1;0.1;1;1;1;
Écologie, développement durable et énergie;Commission nationale de la négociation collective de la marine marchande;Article R. 742-5 du code du travail;36;2;2.1;2.6;1;1;1;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie Cette commission est amenée à être remplacée par la commission nationale de la négociation collective maritime.
Écologie, développement durable et énergie;Commission nationale de la négociation collective maritime;Décret n° 2015-918 du 27 juillet 2015 relatif aux conventions et accords collectifs des gens de mer et à la composition et au fonctionnement de la commission nationale de la négociation collective maritime;49;-;-;-;-;-;-;
Écologie, développement durable et énergie;Commission nationale de sécurité de la navigation de plaisance;Décret n° 84-810 du 30 août 1984 modifié relatif à la sauvegarde de la vie humaine, à l'habitabilité à bord des navires et à la prévention de la pollution;23;1;2.7;4;6;8;9;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Commission nationale des documents et autorisations de transport routier international;Décret n° 2011-667 du 14 juin 2011 relatif à la délivrance des autorisations de transport routier international et des documents de contrôle du cabotage;7;0;0;0;0;0;0;
Écologie, développement durable et énergie;Commission nationale des sanctions administratives;Articles L. 1452-1 et L. 3452-3 du code des transports et article 17 de la loi n° 82-1153 du 30 décembre 1982 d'orientation des transports intérieurs;16;0;0;0.2;;0;1;
Écologie, développement durable et énergie;Commission nationale d’évaluation du financement des charges de démantèlement des installations nucléaires de base et de gestion des combustibles usés et des déchets radioactifs;Articles L. 594-11, L. 594-12 et L. 594-13 du code de l'environnement;10;;;0;;;0;
Écologie, développement durable et énergie;Commission relative à la procédure de dation d'immeubles situés dans les zones d'intervention du conservatoire de l'espace littoral et des rivages lacustres;Article 384 A bis de l'annexe II au code général des impôts;5;0;0;0;0;1;0;
Écologie, développement durable et énergie;Commission supérieure des sites, perspectives et paysages;Articles L. 341-17 et R. 341-28 et suivants du code de l’environnement;30;7.2;6.2;3.4;7;6;5;Fusion décidée par le CIMAP du 17 juillet 2013 avec le conseil national du paysage
Écologie, développement durable et énergie;Commission supérieure du crédit maritime mutuel;Articles L. 512-71, L512-84, R. 512-43 et suivants du code monétaire et financier;41;0;0;0;0;0;0;Suppression décidée par le CIMAP du 2 avril 2013
Écologie, développement durable et énergie;Commission supérieure nationale du personnel des industries électriques et gazières;Articles L. 731-1 et R. 713-1, R. 713-4 à R. 713-6 du code du travail;38;0;0;0;1;1;2;
Écologie, développement durable et énergie;Conseil national de la transition écologique;Articles L 133-1 à L 133-4 du code de l'environnement;50;0;0;0;;4;5;
Écologie, développement durable et énergie;Conseil d'orientation et d'appui scientifique et technique du service central d'hydrométéorologie et d'appui à la prévision des inondations;Arrêté du 22 décembre 2013 fixant la composition, l'organisation et le fonctionnement du conseil d'orientation et d'appui scientifique et technique du service central d'hydrométéorologie et d'appui à la prévision des inondations;48;-;0;;-;0;;
Écologie, développement durable et énergie;Conseil d'orientation pour la prévention des risques naturels majeurs;Articles L.566-4 et R.566-4 du code de l’environnement;38;36.98;36.33;0;7;7;0;
Écologie, développement durable et énergie;Conseil de discipline du personnel navigant professionnel de l'aéronautique civile;Articles R. 425-4, R.425-5 et R. 425-8 du code de l'aviation civile;35;0;0;0;2;3;3;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil de gestion du fonds de prévention des risques naturels majeurs;Articles R. 561-10 et suivants du code de l’environnement;12;0;0;0;2;1;0;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil du personnel navigant professionnel de l'aéronautique civile;Articles R. 421-7 et R.421-8 du code de l'aviation civile;30;0;0;0;;3;4;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil économique du développement durable;Décret n° 2008-1250 du 1er décembre 2008 portant création du conseil économique pour le développement durable;27;1.7;2.4;2.3;19;29;14;
Écologie, développement durable et énergie;Conseil national de l'air;Articles D. 221-16 et suivants du code de l’environnement;48;0;0;0;1;3;1;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil national de l'information géographique;Décret n° 2011-127 du 31 janvier 2011 relatif au conseil national de l'information géographique;35;5;3;8;8;12;39;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil national de la chasse et de la faune sauvage;Articles R. 421-1 et suivants du code de l'environnement;29;1.3;1;0.75;6;4;3;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil national de la mer et des littoraux;Loi n° 86-2 du 3 janvier 1986 modifiée relative à l'aménagement, la protection et la mise en valeur du littoral;70;0;0;0;;6;6;
Écologie, développement durable et énergie;Conseil national de la protection de la nature;Articles R. 133-1 et suivants du code de l'environnement;40;75;55;75;48;39;43;
Écologie, développement durable et énergie;Conseil national de la sûreté de l'aviation civile;Article D. 213-2 du code de l'aviation civile;35;0;0;0;2;2;2;
Écologie, développement durable et énergie;Conseil national des déchets;Articles D. 541-1 et suivants du code de l’environnement;40;1;4;0;1;4;0;
